2552552552,,1,,anudeepND/optional,,https://github.com/anudeepND/whitelist
0,,pmd.cdn.turner.com,,1,,Used by Turner Broadcasting streams. - qjz8zk
0,,i.cdn.turner.com,,1,,Used by Turner Broadcasting streams. - qjz8zk
0,,s.cdn.turner.com,,1,,Used by Turner Broadcasting streams. - qjz8zk
0,,z.cdn.turner.com,,1,,Used by Turner Broadcasting streams. - qjz8zk
0,,amd.cdn.turner.com,,1,,Used by Turner Broadcasting streams. - qjz8zk
0,,device-metrics-us-2.amazon.com,,1,,Used by amazon/amazonaws. - qjz8zk
0,,device-metrics-us.amazon.com,,1,,Used by amazon/amazonaws. - qjz8zk
0,,cognito-identity.us-east-1.amazonaws.com,,1,,Used by amazon/amazonaws. - qjz8zk
0,,unagi-na.amazon.com,,1,,Used by amazon/amazonaws. - qjz8zk
0,,ocsp.rootg2.amazontrust.com,,1,,Used by amazon/amazonaws. - qjz8zk
0,,det-ta-g7g.amazon.com,,1,,Used by amazon/amazonaws. - qjz8zk
0,,todo-ta-g7g.amazon.com,,1,,Used by amazon/amazonaws. - qjz8zk
0,,device-messaging-na.amazon.com,,1,,Used by amazon/amazonaws. - qjz8zk
0,,s3-eu-west-1.amazonaws.com,,1,,Used by amazon/amazonaws. - qjz8zk
0,,us-east-1.amazonaws.com,,1,,Used by amazon/amazonaws. - qjz8zk
0,,sqs.us-east-1.amazonaws.com,,1,,Used by amazon/amazonaws. - qjz8zk

# Bild.de
0,,acdn.adnxs.com,,1,,Bild.de - qjz8zk
0,,cdn1.smartadserver.com,,1,,Bild.de - qjz8zk
0,,ec-ns.sascdn.com,,1,,Bild.de - qjz8zk

# DirectTV Now
0,,js.maxmind.com,,1,,DirectTV Now - qjz8zk
0,,directvnow.com,,1,,DirectTV Now - qjz8zk
0,,directvapplications.hb.omtrdc.net,,1,,DirectTV Now - qjz8zk
0,,s.zkcdn.net,,1,,DirectTV Now - qjz8zk

# Facebook
0,,creative.ak.fbcdn.net,,1,,Facebook - qjz8zk
0,,external-lhr0-1.xx.fbcdn.net,,1,,Facebook - qjz8zk
0,,external-lhr10-1.xx.fbcdn.net,,1,,Facebook - qjz8zk
0,,external-lhr1-1.xx.fbcdn.net,,1,,Facebook - qjz8zk
0,,external-lhr2-1.xx.fbcdn.net,,1,,Facebook - qjz8zk
0,,external-lhr3-1.xx.fbcdn.net,,1,,Facebook - qjz8zk
0,,external-lhr4-1.xx.fbcdn.net,,1,,Facebook - qjz8zk
0,,external-lhr5-1.xx.fbcdn.net,,1,,Facebook - qjz8zk
0,,external-lhr6-1.xx.fbcdn.net,,1,,Facebook - qjz8zk
0,,external-lhr7-1.xx.fbcdn.net,,1,,Facebook - qjz8zk
0,,external-lhr8-1.xx.fbcdn.net,,1,,Facebook - qjz8zk
0,,external-lhr9-1.xx.fbcdn.net,,1,,Facebook - qjz8zk
0,,fbcdn-creative-a.akamaihd.net,,1,,Facebook - qjz8zk
0,,graph.facebook.com,,1,,Facebook - qjz8zk
0,,graph.instagram.com,,1,,Facebook - qjz8zk
0,,instagram.c10r.facebook.com,,1,,Facebook - qjz8zk
0,,scontent-lhr3-1.xx.fbcdn.net,,1,,Facebook - qjz8zk
0,,scontent.xx.fbcdn.net,,1,,Facebook - qjz8zk
0,,scontent.fgdl5-1.fna.fbcdn.net,,1,,Facebook - qjz8zk
0,,facebook.com,,1,,Facebook - qjz8zk
0,,facebook.net,,1,,Facebook - qjz8zk
0,,fbcdn.net,,1,,Facebook - qjz8zk
0,,cdn.fbsbx.com,,1,,Facebook - qjz8zk
0,,edge-mqtt.facebook.com,,1,,Facebook - qjz8zk
0,,0-edge-chat.facebook.com,,1,,Facebook - qjz8zk
0,,1-edge-chat.facebook.com,,1,,Facebook - qjz8zk
0,,2-edge-chat.facebook.com,,1,,Facebook - qjz8zk
0,,3-edge-chat.facebook.com,,1,,Facebook - qjz8zk
0,,4-edge-chat.facebook.com,,1,,Facebook - qjz8zk
0,,5-edge-chat.facebook.com,,1,,Facebook - qjz8zk
0,,6-edge-chat.facebook.com,,1,,Facebook - qjz8zk
0,,edge-chat.facebook.com,,1,,Facebook - qjz8zk
0,,mqtt-mini.facebook.com,,1,,Facebook - qjz8zk

# Fix - Images not loading on www.thecut.com
0,,pixel.nymag.com,,1,,Fix - Images not loading on www.thecut.com - qjz8zk

# GeForce Experience
0,,events.gfe.nvidia.com,,1,,GeForce Experience - qjz8zk
0,,gfwsl.geforce.com,,1,,GeForce Experience - qjz8zk

# GTA Online telemetry. Whitelist this domain to prevent the game from crashing.
0,,prod.telemetry.ros.rockstargames.com,,1,,GTA Online telemetry. Whitelist this domain to prevent the game from crashing. - qjz8zk

# Host files
0,,hosts-file.net,,1,,Host files - qjz8zk
0,,raw.githubusercontent.com,,1,,Host files - qjz8zk
0,,v.firebog.net,,1,,Host files - qjz8zk
0,,hostsfile.org,,1,,Host files - qjz8zk
0,,someonewhocares.org,,1,,Host files - qjz8zk
0,,hostsfile.mine.nu,,1,,Host files - qjz8zk
0,,winhelp2002.mvps.org,,1,,Host files - qjz8zk
0,,sysctl.org,,1,,Host files - qjz8zk
0,,pgl.yoyo.org,,1,,Host files - qjz8zk
0,,zeustracker.abuse.ch,,1,,Host files - qjz8zk

# Images not loading on aliexpress.com
0,,ae01.alicdn.com,,1,,Images not loading on aliexpress.com - qjz8zk

# Jackbox.tv
0,,www.google-analytics.com,,1,, - qjz8zk
0,,google-analytics.com,,1,, - qjz8zk
0,,ssl.google-analytics.com,,1,, - qjz8zk

# Lotus talk
0,,lotustalk.com,,1,,Lotus talk - qjz8zk
